config,low_power_cps,medium_power_cps,high_power_cps,total_energy_kwh,max_load_kw,infrastructure_cost_eur,energy_per_eur
10L_0M_0H,10,0,0,180.89490899617945,18.5,20000,9.044745449808973
5L_3M_0H,5,3,0,172.11751963619815,21.384253858898823,34000,5.062279989299946
0L_5M_0H,0,5,0,186.53792287273438,41.94229264886988,40000,4.66344807181836
0L_3M_1H,0,3,1,214.2485452462694,28.175222072047646,74000,2.895250611436073
0L_0M_2H,0,0,2,140.1060494341032,66.79283215134265,100000,1.401060494341032
2L_2M_1H,2,2,1,197.98063229093054,41.14008745985456,70000,2.8282947470132935
